[0.002] I: Not running on a Raspberry Pi.
== Lennox Winslow PS40
[198.034] I: Pausing for undefinedms
[198.035] I: Pausing for undefinedms
[198.037] I: Pausing for undefinedms
[198.041] I: Pausing for undefinedms
[198.043] I: Pausing for undefinedms
[198.045] I: Pausing for undefinedms
[198.046] I: Pausing for undefinedms
[198.048] I: Pausing for undefinedms
[198.049] I: Pausing for undefinedms
[198.05] I: Pausing for undefinedms
[198.051] I: Pausing for undefinedms
[198.053] I: Pausing for undefinedms
[198.054] I: Pausing for undefinedms
[198.055] I: Pausing for undefinedms
[198.057] I: Pausing for undefinedms
[198.058] I: Pausing for undefinedms
[198.059] I: Pausing for undefinedms
[198.06] I: Pausing for undefinedms
[198.062] I: Pausing for undefinedms
[198.063] I: Pausing for undefinedms
[198.064] I: Pausing for undefinedms
[198.065] I: Pausing for undefinedms
[198.067] I: Pausing for undefinedms
[198.068] I: Pausing for undefinedms
[198.069] I: Pausing for undefinedms
[198.07] I: Pausing for undefinedms
[198.072] I: Pausing for undefinedms
[198.073] I: Pausing for undefinedms
[198.074] I: Pausing for undefinedms
[198.075] I: Pausing for undefinedms
[198.077] I: Pausing for undefinedms
[198.078] I: Pausing for undefinedms
[198.079] I: Pausing for undefinedms
[198.081] I: Pausing for undefinedms
[198.082] I: Pausing for undefinedms
[198.083] I: Pausing for undefinedms
[198.084] I: Pausing for undefinedms
[198.086] I: Pausing for undefinedms
[198.087] I: Pausing for undefinedms
[198.088] I: Pausing for undefinedms
[198.089] I: Pausing for undefinedms
[198.091] I: Pausing for undefinedms
[198.092] I: Pausing for undefinedms
[198.093] I: Pausing for undefinedms
[198.094] I: Pausing for undefinedms
[198.096] I: Pausing for undefinedms
[198.097] I: Pausing for undefinedms
[198.098] I: Pausing for undefinedms
[198.099] I: Pausing for undefinedms
[198.101] I: Pausing for undefinedms
[198.102] I: Pausing for undefinedms
[198.103] I: Pausing for undefinedms
[198.105] I: Pausing for undefinedms
[198.106] I: Pausing for undefinedms
[198.107] I: Pausing for undefinedms
[198.108] I: Pausing for undefinedms
[198.11] I: Pausing for undefinedms
[198.112] I: Pausing for undefinedms
[198.113] I: Pausing for undefinedms
[198.114] I: Pausing for undefinedms
[198.115] I: Pausing for undefinedms
[198.117] I: Pausing for undefinedms
[198.118] I: Pausing for undefinedms
[198.119] I: Pausing for undefinedms
[198.12] I: Pausing for undefinedms
[198.122] I: Pausing for undefinedms
[198.123] I: Pausing for undefinedms
[198.124] I: Pausing for undefinedms
[198.125] I: Pausing for undefinedms
[198.127] I: Pausing for undefinedms
[198.128] I: Pausing for undefinedms
[198.129] I: Pausing for undefinedms
[198.13] I: Pausing for undefinedms
[198.132] I: Pausing for undefinedms
[198.133] I: Pausing for undefinedms
[198.134] I: Pausing for undefinedms
[198.135] I: Pausing for undefinedms
[198.136] I: Pausing for undefinedms
[198.138] I: Pausing for undefinedms
[198.139] I: Pausing for undefinedms
[198.14] I: Pausing for undefinedms
[198.141] I: Pausing for undefinedms
[198.143] I: Pausing for undefinedms
[198.144] I: Pausing for undefinedms
[198.145] I: Pausing for undefinedms
[198.146] I: Pausing for undefinedms
[198.148] I: Pausing for undefinedms
[198.149] I: Pausing for undefinedms
[198.15] I: Pausing for undefinedms
[198.152] I: Pausing for undefinedms
[198.153] I: Pausing for undefinedms
[198.154] I: Pausing for undefinedms
[198.155] I: Pausing for undefinedms
[198.157] I: Pausing for undefinedms
[198.158] I: Pausing for undefinedms
[198.159] I: Pausing for undefinedms
[198.159] I: Pausing for undefinedms
[198.16] I: Pausing for undefinedms
[198.162] I: Pausing for undefinedms
[198.163] I: Pausing for undefinedms
[198.163] I: Pausing for undefinedms
[198.164] I: Pausing for undefinedms
[198.166] I: Pausing for undefinedms
[198.167] I: Pausing for undefinedms
[198.168] I: Pausing for undefinedms
[198.168] I: Pausing for undefinedms
[198.169] I: Pausing for undefinedms
[198.171] I: Pausing for undefinedms
[198.172] I: Pausing for undefinedms
[198.173] I: Pausing for undefinedms
[198.174] I: Pausing for undefinedms
[198.176] I: Pausing for undefinedms
[198.178] I: Pausing for undefinedms
[198.179] I: Pausing for undefinedms
[198.18] I: Pausing for undefinedms
[198.182] I: Pausing for undefinedms
[198.183] I: Pausing for undefinedms
[198.184] I: Pausing for undefinedms
[198.185] I: Pausing for undefinedms
[198.187] I: Pausing for undefinedms
[198.188] I: Pausing for undefinedms
[198.189] I: Pausing for undefinedms
[198.19] I: Pausing for undefinedms
[198.192] I: Pausing for undefinedms
[198.193] I: Pausing for undefinedms
[198.194] I: Pausing for undefinedms
[198.196] I: Pausing for undefinedms
[198.197] I: Pausing for undefinedms
[198.198] I: Pausing for undefinedms
[198.199] I: Pausing for undefinedms
[198.201] I: Pausing for undefinedms
[198.202] I: Pausing for undefinedms
[198.203] I: Pausing for undefinedms
[198.203] I: Pausing for undefinedms
[198.204] I: Pausing for undefinedms
[198.206] I: Pausing for undefinedms
[198.207] I: Pausing for undefinedms
[198.208] I: Pausing for undefinedms
[198.21] I: Pausing for undefinedms
[198.211] I: Pausing for undefinedms
[198.212] I: Pausing for undefinedms
[198.213] I: Pausing for undefinedms
[198.215] I: Pausing for undefinedms
[198.216] I: Pausing for undefinedms
[198.217] I: Pausing for undefinedms
[198.218] I: Pausing for undefinedms
[198.22] I: Pausing for undefinedms
[198.221] I: Pausing for undefinedms
[198.222] I: Pausing for undefinedms
[198.223] I: Pausing for undefinedms
[198.225] I: Pausing for undefinedms
[198.226] I: Pausing for undefinedms
[198.227] I: Pausing for undefinedms
[198.229] I: Pausing for undefinedms
[198.23] I: Pausing for undefinedms
[198.231] I: Pausing for undefinedms
[198.231] I: Pausing for undefinedms
[198.232] I: Pausing for undefinedms
[198.234] I: Pausing for undefinedms
[198.235] I: Pausing for undefinedms
[198.236] I: Pausing for undefinedms
[198.238] I: Pausing for undefinedms
[198.239] I: Pausing for undefinedms
[198.24] I: Pausing for undefinedms
[198.241] I: Pausing for undefinedms
[198.243] I: Pausing for undefinedms
[198.244] I: Pausing for undefinedms
[198.245] I: Pausing for undefinedms
[198.247] I: Pausing for undefinedms
[198.248] I: Pausing for undefinedms
[198.249] I: Pausing for undefinedms
[198.25] I: Pausing for undefinedms
[198.252] I: Pausing for undefinedms
[198.253] I: Pausing for undefinedms
[198.254] I: Pausing for undefinedms
[198.255] I: Pausing for undefinedms
[198.257] I: Pausing for undefinedms
[198.258] I: Pausing for undefinedms
[198.259] I: Pausing for undefinedms
[198.261] I: Pausing for undefinedms
[198.262] I: Pausing for undefinedms
[198.263] I: Pausing for undefinedms
[198.264] I: Pausing for undefinedms
[198.266] I: Pausing for undefinedms
[198.267] I: Pausing for undefinedms
[198.268] I: Pausing for undefinedms
[198.269] I: Pausing for undefinedms
[198.27] I: Pausing for undefinedms
[198.272] I: Pausing for undefinedms
[198.273] I: Pausing for undefinedms
[198.274] I: Pausing for undefinedms
[198.275] I: Pausing for undefinedms
[198.276] I: Pausing for undefinedms
[198.278] I: Pausing for undefinedms
[198.279] I: Pausing for undefinedms
[198.28] I: Pausing for undefinedms
[198.282] I: Pausing for undefinedms
[198.283] I: Pausing for undefinedms
[198.284] I: Pausing for undefinedms
[198.286] I: Pausing for undefinedms
[198.287] I: Pausing for undefinedms
[198.288] I: Pausing for undefinedms
[198.289] I: Pausing for undefinedms
[198.29] I: Pausing for undefinedms
[198.292] I: Pausing for undefinedms
[198.293] I: Pausing for undefinedms
[198.294] I: Pausing for undefinedms
[198.295] I: Pausing for undefinedms
[198.297] I: Pausing for undefinedms
[198.298] I: Pausing for undefinedms
[198.299] I: Pausing for undefinedms
[198.3] I: Pausing for undefinedms
[198.302] I: Pausing for undefinedms
[198.303] I: Pausing for undefinedms
[198.304] I: Pausing for undefinedms
[198.304] I: Pausing for undefinedms
[198.305] I: Pausing for undefinedms
[198.307] I: Pausing for undefinedms
[198.308] I: Pausing for undefinedms
[198.309] I: Pausing for undefinedms
[198.31] I: Pausing for undefinedms
[198.312] I: Pausing for undefinedms
[198.313] I: Pausing for undefinedms
[198.314] I: Pausing for undefinedms
[198.314] I: Pausing for undefinedms
[198.315] I: Pausing for undefinedms
[198.317] I: Pausing for undefinedms
[198.318] I: Pausing for undefinedms
[198.319] I: Pausing for undefinedms
[198.32] I: Pausing for undefinedms
[198.321] I: Pausing for undefinedms
[198.323] I: Pausing for undefinedms
[198.324] I: Pausing for undefinedms
[198.325] I: Pausing for undefinedms
[198.327] I: Pausing for undefinedms
[198.328] I: Pausing for undefinedms
[198.329] I: Pausing for undefinedms
[198.33] I: Pausing for undefinedms
[198.331] I: Pausing for undefinedms
[198.333] I: Pausing for undefinedms
[198.334] I: Pausing for undefinedms
[198.335] I: Pausing for undefinedms
[198.336] I: Pausing for undefinedms
[198.338] I: Pausing for undefinedms
[198.339] I: Pausing for undefinedms
[198.34] I: Pausing for undefinedms
[198.341] I: Pausing for undefinedms
[198.343] I: Pausing for undefinedms
[198.344] I: Pausing for undefinedms
[198.345] I: Pausing for undefinedms
[198.346] I: Pausing for undefinedms
[198.348] I: Pausing for undefinedms
[198.349] I: Pausing for undefinedms
[198.35] I: Pausing for undefinedms
[198.351] I: Pausing for undefinedms
[198.352] I: Pausing for undefinedms
[198.353] I: Pausing for undefinedms
[198.355] I: Pausing for undefinedms
[198.356] I: Pausing for undefinedms
[198.357] I: Pausing for undefinedms
[198.358] I: Pausing for undefinedms
[198.36] I: Pausing for undefinedms
[198.361] I: Pausing for undefinedms
[198.362] I: Pausing for undefinedms
[198.364] I: Pausing for undefinedms
[198.365] I: Pausing for undefinedms
[198.366] I: Pausing for undefinedms
[198.367] I: Pausing for undefinedms
[198.369] I: Pausing for undefinedms
[198.37] I: Pausing for undefinedms
[198.371] I: Pausing for undefinedms
[198.372] I: Pausing for undefinedms
[198.374] I: Pausing for undefinedms
[198.375] I: Pausing for undefinedms
[198.378] I: Pausing for undefinedms
[198.38] I: Pausing for undefinedms
[198.381] I: Pausing for undefinedms
[198.382] I: Pausing for undefinedms
[198.383] I: Pausing for undefinedms
[198.385] I: Pausing for undefinedms
[198.386] I: Pausing for undefinedms
[198.387] I: Pausing for undefinedms
[198.389] I: Pausing for undefinedms
[198.39] I: Pausing for undefinedms
[198.391] I: Pausing for undefinedms
[198.392] I: Pausing for undefinedms
[198.393] I: Pausing for undefinedms
[198.395] I: Pausing for undefinedms
[198.396] I: Pausing for undefinedms
[198.398] I: Pausing for undefinedms
[198.399] I: Pausing for undefinedms
[198.4] I: Pausing for undefinedms
[198.401] I: Pausing for undefinedms
[198.403] I: Pausing for undefinedms
[198.404] I: Pausing for undefinedms
[198.405] I: Pausing for undefinedms
[198.406] I: Pausing for undefinedms
[198.408] I: Pausing for undefinedms
[198.409] I: Pausing for undefinedms
[198.41] I: Pausing for undefinedms
[198.412] I: Pausing for undefinedms
[198.413] I: Pausing for undefinedms
[198.415] I: Pausing for undefinedms
[198.416] I: Pausing for undefinedms
[198.417] I: Pausing for undefinedms
[198.418] I: Pausing for undefinedms
[198.42] I: Pausing for undefinedms
[198.421] I: Pausing for undefinedms
[198.422] I: Pausing for undefinedms
[198.424] I: Pausing for undefinedms
[198.425] I: Pausing for undefinedms
[198.426] I: Pausing for undefinedms
[198.431] I: Pausing for undefinedms
[198.431] I: Pausing for undefinedms
[198.433] I: Pausing for undefinedms
[198.434] I: Pausing for undefinedms
[198.435] I: Pausing for undefinedms
[198.436] I: Pausing for undefinedms
[198.438] I: Pausing for undefinedms
[198.439] I: Pausing for undefinedms
[198.44] I: Pausing for undefinedms
[198.442] I: Pausing for undefinedms
[198.443] I: Pausing for undefinedms
[198.444] I: Pausing for undefinedms
[198.445] I: Pausing for undefinedms
[198.446] I: Pausing for undefinedms
[198.447] I: Pausing for undefinedms
[198.449] I: Pausing for undefinedms
[198.45] I: Pausing for undefinedms
[198.451] I: Pausing for undefinedms
[198.452] I: Pausing for undefinedms
[198.454] I: Pausing for undefinedms
[198.455] I: Pausing for undefinedms
[198.456] I: Pausing for undefinedms
[198.457] I: Pausing for undefinedms
[198.459] I: Pausing for undefinedms
[198.46] I: Pausing for undefinedms
[198.461] I: Pausing for undefinedms
[198.463] I: Pausing for undefinedms
[198.464] I: Pausing for undefinedms
[198.465] I: Pausing for undefinedms
[198.466] I: Pausing for undefinedms
[198.467] I: Pausing for undefinedms
[198.469] I: Pausing for undefinedms
[198.47] I: Pausing for undefinedms
[198.471] I: Pausing for undefinedms
[198.472] I: Pausing for undefinedms
[198.474] I: Pausing for undefinedms
[198.475] I: Pausing for undefinedms
[198.476] I: Pausing for undefinedms
[198.477] I: Pausing for undefinedms
[198.478] I: Pausing for undefinedms
[198.48] I: Pausing for undefinedms
[198.481] I: Pausing for undefinedms
[198.482] I: Pausing for undefinedms
[198.483] I: Pausing for undefinedms
[198.484] I: Pausing for undefinedms
[198.486] I: Pausing for undefinedms
[198.487] I: Pausing for undefinedms
[198.488] I: Pausing for undefinedms
[198.489] I: Pausing for undefinedms
[198.49] I: Pausing for undefinedms
[198.492] I: Pausing for undefinedms
[198.493] I: Pausing for undefinedms
[198.494] I: Pausing for undefinedms
[198.495] I: Pausing for undefinedms
[198.497] I: Pausing for undefinedms
[198.498] I: Pausing for undefinedms
[198.499] I: Pausing for undefinedms
[198.499] I: Pausing for undefinedms
[198.5] I: Pausing for undefinedms
[198.502] I: Pausing for undefinedms
[198.503] I: Pausing for undefinedms
[198.504] I: Pausing for undefinedms
[198.505] I: Pausing for undefinedms
[198.506] I: Pausing for undefinedms
[198.508] I: Pausing for undefinedms
[198.509] I: Pausing for undefinedms
[198.51] I: Pausing for undefinedms
[198.511] I: Pausing for undefinedms
[198.513] I: Pausing for undefinedms
[198.514] I: Pausing for undefinedms
[198.515] I: Pausing for undefinedms
[198.516] I: Pausing for undefinedms
[198.517] I: Pausing for undefinedms
[198.519] I: Pausing for undefinedms
[198.52] I: Pausing for undefinedms
[198.521] I: Pausing for undefinedms
[198.522] I: Pausing for undefinedms
[198.524] I: Pausing for undefinedms
[198.526] I: Pausing for undefinedms
[198.527] I: Pausing for undefinedms
[198.528] I: Pausing for undefinedms
[198.529] I: Pausing for undefinedms
[198.531] I: Pausing for undefinedms
[198.532] I: Pausing for undefinedms
[198.533] I: Pausing for undefinedms
[198.534] I: Pausing for undefinedms
[198.535] I: Pausing for undefinedms
[198.537] I: Pausing for undefinedms
[198.538] I: Pausing for undefinedms
[198.539] I: Pausing for undefinedms
[198.541] I: Pausing for undefinedms
[198.542] I: Pausing for undefinedms
[198.543] I: Pausing for undefinedms
[198.545] I: Pausing for undefinedms
[198.546] I: Pausing for undefinedms
[198.547] I: Pausing for undefinedms
[198.548] I: Pausing for undefinedms
[198.549] I: Pausing for undefinedms
[198.551] I: Pausing for undefinedms
[198.552] I: Pausing for undefinedms
[198.553] I: Pausing for undefinedms
[198.554] I: Pausing for undefinedms
[198.556] I: Pausing for undefinedms
[198.557] I: Pausing for undefinedms
[198.558] I: Pausing for undefinedms
[198.559] I: Pausing for undefinedms
[198.56] I: Pausing for undefinedms
[198.562] I: Pausing for undefinedms
[198.563] I: Pausing for undefinedms
[198.564] I: Pausing for undefinedms
[198.565] I: Pausing for undefinedms
[198.567] I: Pausing for undefinedms
[198.568] I: Pausing for undefinedms
[198.569] I: Pausing for undefinedms
[198.57] I: Pausing for undefinedms
[198.571] I: Pausing for undefinedms
[198.573] I: Pausing for undefinedms
[198.574] I: Pausing for undefinedms
[198.575] I: Pausing for undefinedms
[198.576] I: Pausing for undefinedms
[198.577] I: Pausing for undefinedms
[198.579] I: Pausing for undefinedms
[198.58] I: Pausing for undefinedms
[198.581] I: Pausing for undefinedms
[198.582] I: Pausing for undefinedms
[198.583] I: Pausing for undefinedms
[198.585] I: Pausing for undefinedms
[198.586] I: Pausing for undefinedms
[198.587] I: Pausing for undefinedms
[198.588] I: Pausing for undefinedms
[198.589] I: Pausing for undefinedms
[198.591] I: Pausing for undefinedms
[198.592] I: Pausing for undefinedms
[198.593] I: Pausing for undefinedms
[198.595] I: Pausing for undefinedms
[198.596] I: Pausing for undefinedms
[198.597] I: Pausing for undefinedms
[198.598] I: Pausing for undefinedms
[198.599] I: Pausing for undefinedms
[198.601] I: Pausing for undefinedms
[198.602] I: Pausing for undefinedms
[198.603] I: Pausing for undefinedms
[198.604] I: Pausing for undefinedms
[198.605] I: Pausing for undefinedms
[198.607] I: Pausing for undefinedms
[198.608] I: Pausing for undefinedms
[198.609] I: Pausing for undefinedms
[198.61] I: Pausing for undefinedms
[198.612] I: Pausing for undefinedms
[198.613] I: Pausing for undefinedms
[198.614] I: Pausing for undefinedms
[198.615] I: Pausing for undefinedms
[198.617] I: Pausing for undefinedms
[198.618] I: Pausing for undefinedms
[198.619] I: Pausing for undefinedms
[198.62] I: Pausing for undefinedms
[198.622] I: Pausing for undefinedms
[198.623] I: Pausing for undefinedms
[198.624] I: Pausing for undefinedms
[198.626] I: Pausing for undefinedms
[198.627] I: Pausing for undefinedms
[198.628] I: Pausing for undefinedms
[198.63] I: Pausing for undefinedms
[198.631] I: Pausing for undefinedms
[198.632] I: Pausing for undefinedms
[198.633] I: Pausing for undefinedms
[198.633] I: Pausing for undefinedms
[198.634] I: Pausing for undefinedms
[198.637] I: Pausing for undefinedms
[198.639] I: Pausing for undefinedms
[198.64] I: Pausing for undefinedms
[198.64] I: Pausing for undefinedms
[198.641] I: Pausing for undefinedms
[198.643] I: Pausing for undefinedms
[198.644] I: Pausing for undefinedms
[198.644] I: Pausing for undefinedms
[198.645] I: Pausing for undefinedms
[198.647] I: Pausing for undefinedms
[198.648] I: Pausing for undefinedms
[198.649] I: Pausing for undefinedms
[198.651] I: Pausing for undefinedms
[198.652] I: Pausing for undefinedms
[198.653] I: Pausing for undefinedms
[198.654] I: Pausing for undefinedms
[198.656] I: Pausing for undefinedms
[198.657] I: Pausing for undefinedms
[198.658] I: Pausing for undefinedms
[198.659] I: Pausing for undefinedms
[198.661] I: Pausing for undefinedms
[198.662] I: Pausing for undefinedms
[198.663] I: Pausing for undefinedms
[198.664] I: Pausing for undefinedms
[198.665] I: Pausing for undefinedms
[198.667] I: Pausing for undefinedms
[198.668] I: Pausing for undefinedms
[198.669] I: Pausing for undefinedms
[198.669] I: Pausing for undefinedms
[198.67] I: Pausing for undefinedms
[198.672] I: Pausing for undefinedms
[198.673] I: Pausing for undefinedms
[198.674] I: Pausing for undefinedms
[198.675] I: Pausing for undefinedms
[198.677] I: Pausing for undefinedms
[198.678] I: Pausing for undefinedms
[198.679] I: Pausing for undefinedms
[198.68] I: Pausing for undefinedms
[198.682] I: Pausing for undefinedms
[198.683] I: Pausing for undefinedms
[198.684] I: Pausing for undefinedms
[198.685] I: Pausing for undefinedms
[198.687] I: Pausing for undefinedms
[198.688] I: Pausing for undefinedms
[198.689] I: Pausing for undefinedms
[198.69] I: Pausing for undefinedms
[198.691] I: Pausing for undefinedms
[198.693] I: Pausing for undefinedms
[198.694] I: Pausing for undefinedms
[198.698] I: Pausing for undefinedms
[198.699] I: Pausing for undefinedms
[198.7] I: Pausing for undefinedms
[198.701] I: Pausing for undefinedms
[198.702] I: Pausing for undefinedms
[198.704] I: Pausing for undefinedms
[198.705] I: Pausing for undefinedms
[198.706] I: Pausing for undefinedms
[198.708] I: Pausing for undefinedms
[198.709] I: Pausing for undefinedms
[198.71] I: Pausing for undefinedms
[198.711] I: Pausing for undefinedms
[198.713] I: Pausing for undefinedms
[198.714] I: Pausing for undefinedms
[198.715] I: Pausing for undefinedms
[198.716] I: Pausing for undefinedms
[198.717] I: Pausing for undefinedms
[198.719] I: Pausing for undefinedms
[198.72] I: Pausing for undefinedms
[198.721] I: Pausing for undefinedms
[198.722] I: Pausing for undefinedms
[198.724] I: Pausing for undefinedms
[198.725] I: Pausing for undefinedms
[198.726] I: Pausing for undefinedms
[198.726] I: Pausing for undefinedms
[198.727] I: Pausing for undefinedms
[198.729] I: Pausing for undefinedms
[198.73] I: Pausing for undefinedms
[198.731] I: Pausing for undefinedms
[198.732] I: Pausing for undefinedms
[198.734] I: Pausing for undefinedms
[198.735] I: Pausing for undefinedms
[198.736] I: Pausing for undefinedms
[198.737] I: Pausing for undefinedms
[198.739] I: Pausing for undefinedms
[198.74] I: Pausing for undefinedms
[198.741] I: Pausing for undefinedms
[198.743] I: Pausing for undefinedms
[198.744] I: Pausing for undefinedms
[198.745] I: Pausing for undefinedms
[198.746] I: Pausing for undefinedms
[198.747] I: Pausing for undefinedms
[198.749] I: Pausing for undefinedms
[198.75] I: Pausing for undefinedms
[198.751] I: Pausing for undefinedms
[198.752] I: Pausing for undefinedms
[198.754] I: Pausing for undefinedms
[198.755] I: Pausing for undefinedms
[198.756] I: Pausing for undefinedms
[198.757] I: Pausing for undefinedms
[198.759] I: Pausing for undefinedms
[198.76] I: Pausing for undefinedms
[198.761] I: Pausing for undefinedms
[198.763] I: Pausing for undefinedms
[198.764] I: Pausing for undefinedms
[198.765] I: Pausing for undefinedms
[198.766] I: Pausing for undefinedms
[198.767] I: Pausing for undefinedms
[198.769] I: Pausing for undefinedms
[198.77] I: Pausing for undefinedms
[198.771] I: Pausing for undefinedms
[198.772] I: Pausing for undefinedms
[198.774] I: Pausing for undefinedms
[198.775] I: Pausing for undefinedms
[198.776] I: Pausing for undefinedms
[198.778] I: Pausing for undefinedms
[198.779] I: Pausing for undefinedms
[198.78] I: Pausing for undefinedms
[198.781] I: Pausing for undefinedms
[198.783] I: Pausing for undefinedms
[198.784] I: Pausing for undefinedms
[198.785] I: Pausing for undefinedms
[198.785] I: Pausing for undefinedms
[198.786] I: Pausing for undefinedms
[198.788] I: Pausing for undefinedms
[198.789] I: Pausing for undefinedms
[198.79] I: Pausing for undefinedms
[198.791] I: Pausing for undefinedms
[198.793] I: Pausing for undefinedms
[198.794] I: Pausing for undefinedms
[198.795] I: Pausing for undefinedms
[198.796] I: Pausing for undefinedms
[198.798] I: Pausing for undefinedms
[198.799] I: Pausing for undefinedms
[198.8] I: Pausing for undefinedms
[198.801] I: Pausing for undefinedms
[198.803] I: Pausing for undefinedms
[198.804] I: Pausing for undefinedms
[198.805] I: Pausing for undefinedms
[198.806] I: Pausing for undefinedms
[198.807] I: Pausing for undefinedms
[198.809] I: Pausing for undefinedms
[198.81] I: Pausing for undefinedms
[198.811] I: Pausing for undefinedms
[198.812] I: Pausing for undefinedms
[198.814] I: Pausing for undefinedms
[198.815] I: Pausing for undefinedms
[198.816] I: Pausing for undefinedms
[198.817] I: Pausing for undefinedms
[198.819] I: Pausing for undefinedms
[198.82] I: Pausing for undefinedms
[198.821] I: Pausing for undefinedms
[198.821] I: Pausing for undefinedms
[198.822] I: Pausing for undefinedms
[198.824] I: Pausing for undefinedms
[198.825] I: Pausing for undefinedms
[198.826] I: Pausing for undefinedms
[198.827] I: Pausing for undefinedms
[198.829] I: Pausing for undefinedms
[198.83] I: Pausing for undefinedms
[198.831] I: Pausing for undefinedms
[198.832] I: Pausing for undefinedms
[198.834] I: Pausing for undefinedms
[198.835] I: Pausing for undefinedms
[198.836] I: Pausing for undefinedms
[198.837] I: Pausing for undefinedms
[198.839] I: Pausing for undefinedms
[198.84] I: Pausing for undefinedms
[198.841] I: Pausing for undefinedms
[198.842] I: Pausing for undefinedms
[198.844] I: Pausing for undefinedms
[198.845] I: Pausing for undefinedms
[198.846] I: Pausing for undefinedms
[198.846] I: Pausing for undefinedms
[198.847] I: Pausing for undefinedms
[198.849] I: Pausing for undefinedms
[198.85] I: Pausing for undefinedms
[198.851] I: Pausing for undefinedms
[198.852] I: Pausing for undefinedms
[198.853] I: Pausing for undefinedms
[198.855] I: Pausing for undefinedms
[198.856] I: Pausing for undefinedms
[198.857] I: Pausing for undefinedms
[198.858] I: Pausing for undefinedms
[198.86] I: Pausing for undefinedms
[198.861] I: Pausing for undefinedms
[198.862] I: Pausing for undefinedms
[198.863] I: Pausing for undefinedms
[198.865] I: Pausing for undefinedms
[198.866] I: Pausing for undefinedms
[198.867] I: Pausing for undefinedms
[198.868] I: Pausing for undefinedms
[198.87] I: Pausing for undefinedms
[198.871] I: Pausing for undefinedms
[198.872] I: Pausing for undefinedms
[198.872] I: Pausing for undefinedms
[198.873] I: Pausing for undefinedms
[198.875] I: Pausing for undefinedms
[198.876] I: Pausing for undefinedms
[198.877] I: Pausing for undefinedms
[198.878] I: Pausing for undefinedms
[198.88] I: Pausing for undefinedms
[198.881] I: Pausing for undefinedms
[198.882] I: Pausing for undefinedms
[198.883] I: Pausing for undefinedms
[198.885] I: Pausing for undefinedms
[198.886] I: Pausing for undefinedms
[198.887] I: Pausing for undefinedms
[198.888] I: Pausing for undefinedms
[198.89] I: Pausing for undefinedms
[198.891] I: Pausing for undefinedms
[198.892] I: Pausing for undefinedms
[198.893] I: Pausing for undefinedms
[198.895] I: Pausing for undefinedms
[198.896] I: Pausing for undefinedms
[198.897] I: Pausing for undefinedms
[198.898] I: Pausing for undefinedms
[198.9] I: Pausing for undefinedms
[198.901] I: Pausing for undefinedms
[198.902] I: Pausing for undefinedms
[198.903] I: Pausing for undefinedms
[198.905] I: Pausing for undefinedms
[198.906] I: Pausing for undefinedms
[198.907] I: Pausing for undefinedms
[198.908] I: Pausing for undefinedms
[198.91] I: Pausing for undefinedms
[198.911] I: Pausing for undefinedms
[198.912] I: Pausing for undefinedms
[198.913] I: Pausing for undefinedms
[198.915] I: Pausing for undefinedms
[198.916] I: Pausing for undefinedms
[198.917] I: Pausing for undefinedms
[198.918] I: Pausing for undefinedms
[198.92] I: Pausing for undefinedms
[198.921] I: Pausing for undefinedms
[198.922] I: Pausing for undefinedms
[198.923] I: Pausing for undefinedms
[198.924] I: Pausing for undefinedms
[198.926] I: Pausing for undefinedms
[198.927] I: Pausing for undefinedms
[198.928] I: Pausing for undefinedms
[198.929] I: Pausing for undefinedms
[198.93] I: Pausing for undefinedms
[198.931] I: Pausing for undefinedms
[198.933] I: Pausing for undefinedms
[198.934] I: Pausing for undefinedms
[198.935] I: Pausing for undefinedms
[198.936] I: Pausing for undefinedms
[198.938] I: Pausing for undefinedms
[198.939] I: Pausing for undefinedms
[198.94] I: Pausing for undefinedms
[198.941] I: Pausing for undefinedms
[198.943] I: Pausing for undefinedms
[198.944] I: Pausing for undefinedms
[198.945] I: Pausing for undefinedms
[198.946] I: Pausing for undefinedms
[198.947] I: Pausing for undefinedms
[198.949] I: Pausing for undefinedms
[198.95] I: Pausing for undefinedms
[198.951] I: Pausing for undefinedms
[198.953] I: Pausing for undefinedms
[198.954] I: Pausing for undefinedms
[198.955] I: Pausing for undefinedms
[198.956] I: Pausing for undefinedms
[198.958] I: Pausing for undefinedms
[198.959] I: Pausing for undefinedms
[198.96] I: Pausing for undefinedms
[198.961] I: Pausing for undefinedms
[198.963] I: Pausing for undefinedms
[198.964] I: Pausing for undefinedms
[198.965] I: Pausing for undefinedms
[198.966] I: Pausing for undefinedms
[198.968] I: Pausing for undefinedms
[198.969] I: Pausing for undefinedms
[198.97] I: Pausing for undefinedms
[198.97] I: Pausing for undefinedms
[198.971] I: Pausing for undefinedms
[198.973] I: Pausing for undefinedms
[198.974] I: Pausing for undefinedms
[198.975] I: Pausing for undefinedms
[198.976] I: Pausing for undefinedms
[198.977] I: Pausing for undefinedms
[198.979] I: Pausing for undefinedms
[198.98] I: Pausing for undefinedms
[198.981] I: Pausing for undefinedms
[198.982] I: Pausing for undefinedms
[198.984] I: Pausing for undefinedms
[198.985] I: Pausing for undefinedms
[198.986] I: Pausing for undefinedms
[198.987] I: Pausing for undefinedms
[198.989] I: Pausing for undefinedms
[198.99] I: Pausing for undefinedms
[198.991] I: Pausing for undefinedms
[198.992] I: Pausing for undefinedms
[198.994] I: Pausing for undefinedms
[198.995] I: Pausing for undefinedms
